,,,,,,Data Mean,,,,,Data Standard Deviation.,,,,,,Normalize,,,,,,,,,,,,
1.8993,7.6625,0.15394,-3.1108,0,,,,,,,,,,,,,0.515542434,0.978037342,-0.288556481,-0.913437163,,,,,,,,,
-1.5768,10.843,2.5462,-2.9362,0,,,,,,,,,,,,,-0.707246981,1.519948174,0.266488368,-0.830334399,,,,,,,,,
3.404,8.7261,-2.9915,-0.57242,0,,,,,,,,,,,,,1.044851497,1.159259276,-1.01835185,0.294732341,,,,,,,,,
4.6765,-3.3895,3.4896,1.4771,0,,,,,,,,,,,,,1.492479451,-0.90506233,0.48537315,1.270223623,,,,,,,,,
2.6719,3.0646,0.37158,0.58619,0,,,,,,,,,,,,,0.787320318,0.194622215,-0.238060314,0.846185342,,,,,,,,,
0.80355,2.8473,4.3439,0.6017,0,,,,,,,,,,,,,0.130089915,0.157597463,0.683585224,0.853567495,,,,,,,,,
1.4479,-4.8794,8.3428,-2.1086,0,,,,,,,,,,,,,0.356753233,-1.158919569,1.611397772,-0.436429199,,,,,,,,,
5.2423,11.0272,-4.353,-4.1013,0,,,,,,,,,,,,,1.691511196,1.551333168,-1.334242916,-1.384876386,,,,,,,,,
5.7867,7.8902,-2.6196,-0.48708,0,,,,,,,,,,,,,1.883015053,1.016834103,-0.93206475,0.33535084,,,,,,,,,
0.3292,-4.4552,4.5718,-0.9888,0,,,,,,,,,,,,,-0.036772419,-1.086642073,0.736461885,0.096551762,,,,,,,,,
3.9362,10.1622,-3.8235,-4.0172,0,,,,,,,,,,,,,1.232063754,1.403949779,-1.211389946,-1.344848078,,,,,,,,,
0.93584,8.8855,-1.6831,-1.6599,0,,,,,,,,,,,,,0.176625634,1.186418712,-0.714780884,-0.222865565,,,,,,,,,
4.4338,9.887,-4.6795,-3.7483,0,,,,,,,,,,,,,1.407104752,1.357059711,-1.409996448,-1.216862205,,,,,,,,,
0.7057,-5.4981,8.3368,-2.8715,0,,,,,,,,,,,,,0.095669172,-1.264337029,1.61000567,-0.799539732,,,,,,,,,
1.1432,-3.7413,5.5777,-0.63578,0,,,,,,,,,,,,,0.249568763,-0.965003921,0.969847726,0.264575461,,,,,,,,,
-0.38214,8.3909,2.1624,-3.7405,0,,,,,,,,,,,,,-0.287000842,1.102146083,0.177440265,-1.213149711,,,,,,,,,
6.5633,9.8187,-4.4113,-3.2258,0,,,,,,,,,,,,,2.156200019,1.345422387,-1.347769504,-0.968172661,,,,,,,,,
4.8906,-3.3584,3.4202,1.0905,0,,,,,,,,,,,,,1.567793513,-0.899763343,0.469271175,1.086217159,,,,,,,,,
-0.24811,-0.17797,4.9068,0.15429,0,,,,,,,,,,,,,-0.239853043,-0.357864439,0.81418756,0.640617851,,,,,,,,,
1.4884,3.6274,3.308,0.48921,0,,,,,,,,,,,,,0.370999938,0.29051513,0.443238874,0.800026659,,,,,,,,,
4.2969,7.617,-2.3874,-0.96164,0,,,,,,,,,,,,,1.358947371,0.970284806,-0.878190416,0.109478859,,,,,,,,,
-0.96511,9.4111,1.7305,-4.8629,0,,,,,,,,,,,,,-0.492072487,1.275973289,0.077232148,-1.74736817,,,,,,,,,
-1.6162,0.80908,8.1628,0.60817,0,,,,,,,,,,,,,-0.721106739,-0.189685509,1.569634722,0.856646961,,,,,,,,,
2.4391,6.4417,-0.80743,-0.69139,0,,,,,,,,,,,,,0.705428147,0.77003082,-0.511610609,0.238107278,,,,,,,,,
2.6881,6.0195,-0.46641,-0.69268,0,,,,,,,,,,,,,0.793019,0.698094096,-0.432488191,0.237493289,,,,,,,,,
3.6289,0.81322,1.6277,0.77627,0,,,,,,,,,,,,,1.123964681,-0.188980114,0.053380807,0.93665598,,,,,,,,,
4.5679,3.1929,-2.1055,0.29653,0,,,,,,,,,,,,,1.454277175,0.216482665,-0.81278484,0.708318522,,,,,,,,,
3.4805,9.7008,-3.7541,-3.4379,0,,,,,,,,,,,,,1.071761939,1.325333946,-1.19528797,-1.069123957,,,,,,,,,
4.1711,8.722,-3.0224,-0.59699,0,,,,,,,,,,,,,1.314694643,1.158560696,-1.025521174,0.283037983,,,,,,,,,
-0.2062,9.2207,-3.7044,-6.8103,0,,,,,,,,,,,,,-0.225110342,1.243531905,-1.183756728,-2.67425433,,,,,,,,,
-0.0068919,9.2931,-0.41243,-1.9638,0,,,,,,,,,,,,,-0.154999633,1.25586781,-0.419963917,-0.367510068,,,,,,,,,
0.96441,5.8395,2.3235,0.066365,0,,,,,,,,,,,,,0.186675717,0.66742472,0.214818195,0.598768993,,,,,,,,,
2.8561,6.9176,-0.79372,0.48403,0,,,,,,,,,,,,,0.852116443,0.851117242,-0.508429656,0.797561181,,,,,,,,,
-0.7869,9.5663,-3.7867,-7.5034,0,,,,,,,,,,,,,-0.429383468,1.302417107,-1.202851722,-3.004142796,,,,,,,,,
2.0843,6.6258,0.48382,-2.2134,0,,,,,,,,,,,,,0.580619975,0.801398776,-0.212018733,-0.486309896,,,,,,,,,
-0.7869,9.5663,-3.7867,-7.5034,0,,,,,,,,,,,,,-0.429383468,1.302417107,-1.202851722,-3.004142796,,,,,,,,,
3.9102,6.065,-2.4534,-0.68234,0,,,,,,,,,,,,,1.222917721,0.705846632,-0.893503534,0.242414724,,,,,,,,,
1.6349,3.286,2.8753,0.087054,0,,,,,,,,,,,,,0.422534315,0.232345548,0.342845143,0.608616147,,,,,,,,,
4.3239,-4.8835,3.4356,-0.5776,0,,,,,,,,,,,,,1.368445174,-1.159618149,0.472844235,0.292266864,,,,,,,,,
5.262,3.9834,-1.5572,1.0103,0,,,,,,,,,,,,,1.698441075,0.35117234,-0.685569951,1.048045098,,,,,,,,,
3.1452,5.825,-0.51439,-1.4944,0,,,,,,,,,,,,,0.953813293,0.664954131,-0.443620364,-0.144094044,,,,,,,,,
2.549,6.1499,-1.1605,-1.2371,0,,,,,,,,,,,,,0.744087724,0.720312355,-0.59352883,-0.021629317,,,,,,,,,
4.9264,5.496,-2.4774,-0.50648,0,,,,,,,,,,,,,1.580386897,0.608897328,-0.899071941,0.326117199,,,,,,,,,
4.8265,0.80287,1.6371,1.1875,0,,,,,,,,,,,,,1.545245025,-0.190743603,0.055561766,1.132385361,,,,,,,,,
2.5635,6.7769,-0.61979,0.38576,0,,,,,,,,,,,,,0.749188396,0.827144014,-0.46807495,0.750788509,,,,,,,,,
5.807,5.0097,-2.2384,0.43878,0,,,,,,,,,,,,,1.890155994,0.526038898,-0.843619892,0.776023953,,,,,,,,,
3.1377,-4.1096,4.5701,0.98963,0,,,,,,,,,,,,,0.951175014,-1.027756872,0.736067456,1.038206988,,,,,,,,,
-0.78289,11.3603,-0.37644,-7.0495,0,,,,,,,,,,,,,-0.427972868,1.608088552,-0.411613627,-2.788104165,,,,,,,,,
2.888,0.44696,4.5907,-0.24398,0,,,,,,,,,,,,,0.863337922,-0.251385478,0.740847005,0.451056923,,,,,,,,,
0.49665,5.527,1.7785,-0.47156,0,,,,,,,,,,,,,0.02213155,0.614179276,0.088368961,0.342737752,,,,,,,,,
4.2586,11.2962,-4.0943,-4.3457,0,,,,,,,,,,,,,1.345474561,1.597166846,-1.274220134,-1.501201218,,,,,,,,,
1.7939,-1.1174,1.5454,-0.26079,0,,,,,,,,,,,,,0.478465824,-0.517929615,0.034285812,0.443056021,,,,,,,,,
5.4021,3.1039,-1.1536,1.5651,0,,,,,,,,,,,,,1.747724121,0.201318362,-0.591927913,1.312108178,,,,,,,,,
2.5367,2.599,2.0938,0.20085,0,,,,,,,,,,,,,0.739760947,0.115290763,0.161523903,0.662778588,,,,,,,,,
4.6054,-4.0765,2.7587,0.31981,0,,,,,,,,,,,,,1.467468568,-1.022117114,0.315791968,0.719398891,,,,,,,,,
2.4235,9.5332,-3.0789,-2.7746,0,,,,,,,,,,,,,0.699940527,1.296777349,-1.038630131,-0.753419125,,,,,,,,,
1.0009,7.7846,-0.28219,-2.6608,0,,,,,,,,,,,,,0.199511822,0.998841402,-0.38974603,-0.69925478,,,,,,,,,
0.12326,8.9848,-0.9351,-2.4332,0,,,,,,,,,,,,,-0.109216035,1.203337984,-0.541232211,-0.590926091,,,,,,,,,
3.9529,-2.3548,2.3792,0.48274,0,,,,,,,,,,,,,1.237938321,-0.728764535,0.227741538,0.796947192,,,,,,,,,
4.1373,0.49248,1.093,1.8276,0,,,,,,,,,,,,,1.3028048,-0.243629534,-0.070678652,1.437047901,,,,,,,,,
4.7181,10.0153,-3.9486,-3.8582,0,,,,,,,,,,,,,1.507113103,1.378920161,-1.240415265,-1.269170303,,,,,,,,,
4.1654,-3.4495,3.643,1.0879,0,,,,,,,,,,,,,1.312689551,-0.915285455,0.520964549,1.08497966,,,,,,,,,
4.4069,10.9072,-4.5775,-4.4271,0,,,,,,,,,,,,,1.397642125,1.530886918,-1.38633072,-1.539944431,,,,,,,,,
2.3066,3.5364,0.57551,0.41938,0,,,,,,,,,,,,,0.658818556,0.275010057,-0.190745099,0.766790312,,,,,,,,,
3.7935,7.9853,-2.5477,-1.872,0,,,,,,,,,,,,,1.181866104,1.033037756,-0.915382732,-0.323816861,,,,,,,,,
0.049175,6.1437,1.7828,-0.72113,0,,,,,,,,,,,,,-0.135276952,0.719255965,0.089366634,0.223952203,,,,,,,,,
0.24835,7.6439,0.9885,-0.87371,0,,,,,,,,,,,,,-0.065213064,0.974868174,-0.094924423,0.151330096,,,,,,,,,
1.1317,3.9647,3.3979,0.84351,0,,,,,,,,,,,,,0.245523403,0.347986133,0.464097197,0.968659588,,,,,,,,,
2.8033,9.0862,-3.3668,-1.0224,0,,,,,,,,,,,,,0.833542961,1.220615066,-1.105427809,0.080559477,,,,,,,,,
4.4682,2.2907,0.95766,0.83058,0,,,,,,,,,,,,,1.419205657,0.062760938,-0.102079825,0.962505414,,,,,,,,,
5.0185,8.5978,-2.9375,-1.281,0,,,,,,,,,,,,,1.61278496,1.137398827,-1.005822935,-0.042523999,,,,,,,,,
1.8664,7.7763,-0.23849,-2.9634,0,,,,,,,,,,,,,0.503969185,0.997427203,-0.37960689,-0.843280534,,,,,,,,,
3.245,6.63,-0.63435,0.86937,0,,,,,,,,,,,,,0.988919988,0.802114395,-0.471453116,0.980967936,,,,,,,,,
4.0296,2.6756,0.80685,0.71679,0,,,,,,,,,,,,,1.264919118,0.128342287,-0.1370703,0.908345829,,,,,,,,,
-1.1313,1.9037,7.5339,1.022,0,,,,,,,,,,,,,-0.550533226,-0.00317822,1.423719267,1.05361384,,,,,,,,,
0.87603,6.8141,0.84198,-0.17156,0,,,,,,,,,,,,,0.15558624,0.833482351,-0.128919545,0.485526007,,,,,,,,,
4.1197,-2.7956,2.0707,0.67412,0,,,,,,,,,,,,,1.296613639,-0.803870428,0.156164312,0.88803658,,,,,,,,,
3.8027,0.81529,2.1041,1.0245,0,,,,,,,,,,,,,1.185102393,-0.188627416,0.163913678,1.054803742,,,,,,,,,
1.4806,7.6377,-2.7876,-1.0341,0,,,,,,,,,,,,,0.368256128,0.973811784,-0.971043596,0.074990735,,,,,,,,,
4.0632,3.584,0.72545,0.39481,0,,,,,,,,,,,,,1.276738606,0.283120403,-0.155956479,0.755095954,,,,,,,,,
4.3064,8.2068,-2.7824,-1.4336,0,,,,,,,,,,,,,1.362289191,1.070778127,-0.969837108,-0.115155625,,,,,,,,,
2.4486,-6.3175,7.9632,0.20602,0,,,,,,,,,,,,,0.708769966,-1.403950843,1.523324141,0.665239305,,,,,,,,,
3.2718,1.7837,2.1161,0.61334,0,,,,,,,,,,,,,0.998347437,-0.02362447,0.166697881,0.859107679,,,,,,,,,
-0.64472,-4.6062,8.347,-2.7099,0,,,,,,,,,,,,,-0.379368739,-1.112370272,1.612372243,-0.722624458,,,,,,,,,
2.9543,1.076,0.64577,0.89394,0,,,,,,,,,,,,,0.886660305,-0.144206233,-0.174443589,0.992662294,,,,,,,,,
2.1616,-6.8804,8.1517,-0.081048,0,,,,,,,,,,,,,0.607811835,-1.499860796,1.567059334,0.528606176,,,,,,,,,
3.82,10.9279,-4.0112,-5.0284,0,,,,,,,,,,,,,1.191188022,1.534413896,-1.254939526,-1.82613969,,,,,,,,,
-2.7419,11.4038,2.5394,-5.5793,0,,,,,,,,,,,,,-1.117094784,1.615500318,0.264910652,-2.088346523,,,,,,,,,
3.3669,-5.1856,3.6935,-1.1427,0,,,,,,,,,,,,,1.031800811,-1.211091585,0.532681405,0.023301387,,,,,,,,,
4.5597,-2.4211,2.6413,1.6168,0,,,,,,,,,,,,,1.451392657,-0.740061088,0.288553179,1.336715354,,,,,,,,,
5.1129,-0.49871,0.62863,1.1189,0,,,,,,,,,,,,,1.645992094,-0.412513859,-0.178420359,1.099734447,,,,,,,,,
3.3397,-4.6145,3.9823,-0.23751,0,,,,,,,,,,,,,1.022232654,-1.113784471,0.599687897,0.454136389,,,,,,,,,
4.2027,0.22761,0.96108,0.97282,0,,,,,,,,,,,,,1.32581059,-0.28875952,-0.101286327,1.030206086,,,,,,,,,
3.5438,1.2395,1.997,2.1547,0,,,,,,,,,,,,,1.094029012,-0.116348216,0.139064663,1.592734696,,,,,,,,,
2.3136,10.6651,-3.5288,-4.7672,0,,,,,,,,,,,,,0.66128095,1.489636607,-1.143014553,-1.701818716,,,,,,,,,
-1.8584,7.886,-1.6643,-1.8384,0,,,,,,,,,,,,,-0.806305552,1.016118484,-0.710418965,-0.307824577,,,,,,,,,
3.106,9.5414,-4.2536,-4.003,0,,,,,,,,,,,,,0.940023889,1.29817451,-1.311180432,-1.338089434,,,,,,,,,
2.9163,10.8306,-3.3437,-4.122,0,,,,,,,,,,,,,0.873293027,1.517835394,-1.100068217,-1.394728775,,,,,,,,,
3.9922,-4.4676,3.7304,-0.1095,0,,,,,,,,,,,,,1.251762901,-1.088754852,0.54124283,0.515064138,,,,,,,,,
1.518,5.6946,0.094818,-0.026738,0,,,,,,,,,,,,,0.381412345,0.642735872,-0.302273787,0.55445561,,,,,,,,,
3.2351,9.647,-3.2074,-2.5948,0,,,,,,,,,,,,,0.98543746,1.31616721,-1.068444308,-0.667841364,,,,,,,,,
4.2188,6.8162,-1.2804,0.76076,0,,,,,,,,,,,,,1.331474095,0.833840161,-0.621347661,0.929273828,,,,,,,,,
1.7819,6.9176,-1.2744,-1.5759,0,,,,,,,,,,,,,0.474244578,0.851117242,-0.61995556,-0.182884854,,,,,,,,,
2.5331,2.9135,-0.822,-0.12243,0,,,,,,,,,,,,,0.738494573,0.168876978,-0.514991095,0.508909964,,,,,,,,,
3.8969,7.4163,-1.8245,0.14007,0,,,,,,,,,,,,,1.218239173,0.936088452,-0.747588079,0.633849687,,,,,,,,,
2.108,6.7955,-0.1708,0.4905,0,,,,,,,,,,,,,0.588956936,0.830313182,-0.363901663,0.800640648,,,,,,,,,
2.8969,0.70768,2.29,1.8663,0,,,,,,,,,,,,,0.866468679,-0.206962591,0.207045627,1.455467586,,,,,,,,,
0.9297,-3.7971,4.6429,-0.2957,0,,,,,,,,,,,,,0.174465763,-0.974511428,0.752958289,0.426440227,,,,,,,,,
3.4642,10.6878,-3.4071,-4.109,0,,,,,,,,,,,,,1.06602808,1.493504356,-1.114778091,-1.388541284,,,,,,,,,
4.0713,10.4023,-4.1722,-4.7582,0,,,,,,,,,,,,,1.279587947,1.444859319,-1.292294253,-1.697535068,,,,,,,,,
-1.4572,9.1214,1.7425,-5.1241,0,,,,,,,,,,,,,-0.66517523,1.226612633,0.080016352,-1.871689144,,,,,,,,,
-1.5075,1.9224,7.1466,0.89136,0,,,,,,,,,,,,,-0.682869286,7.98756E-06,1.333859106,0.991434315,,,,,,,,,
-0.91718,9.9884,1.1804,-5.2263,0,,,,,,,,,,,,,-0.475212128,1.374336793,-0.050400371,-1.920332343,,,,,,,,,
2.994,7.2011,-1.2153,0.3211,0,,,,,,,,,,,,,0.900625594,0.899421509,-0.606243359,0.72001288,,,,,,,,,
-2.343,12.9516,3.3285,-5.9426,0,,,,,,,,,,,,,-0.976773534,1.879222872,0.447995221,-2.2612631,,,,,,,,,
3.7818,-2.8846,2.2558,-0.15734,0,,,,,,,,,,,,,1.177750389,-0.819034731,0.199110648,0.492294171,,,,,,,,,
4.6689,1.3098,0.055404,1.909,0,,,,,,,,,,,,,1.489805995,-0.104370121,-0.311418503,1.475791115,,,,,,,,,
3.4663,1.1112,1.7425,1.3388,0,,,,,,,,,,,,,1.066766798,-0.138208666,0.080016352,1.204398238,,,,,,,,,
3.2697,-4.3414,3.6884,-0.29829,0,,,,,,,,,,,,,0.997608719,-1.067252212,0.531498118,0.425207489,,,,,,,,,
5.1302,8.6703,-2.8913,-1.5086,0,,,,,,,,,,,,,1.652077724,1.14975177,-0.995103753,-0.150852688,,,,,,,,,
2.0139,6.1416,0.37929,0.56938,0,,,,,,,,,,,,,0.555855333,0.718898156,-0.236271464,0.83818444,,,,,,,,,
0.4339,5.5395,2.033,-0.40432,0,,,,,,,,,,,,,5.79517E-05,0.616309094,0.147417273,0.37474136,,,,,,,,,
-1.0401,9.3987,0.85998,-5.3336,0,,,,,,,,,,,,,-0.518451757,1.27386051,-0.12474324,-1.971402942,,,,,,,,,
4.1605,11.2196,-3.6136,-4.0819,0,,,,,,,,,,,,,1.310965876,1.584115323,-1.16268959,-1.375642745,,,,,,,,,
5.438,9.4669,-4.9417,-3.9202,0,,,,,,,,,,,,,1.760352682,1.285480796,-1.47083129,-1.298679876,,,,,,,,,
5.032,8.2026,-2.6256,-1.0341,0,,,,,,,,,,,,,1.617533861,1.070062508,-0.933456851,0.074990735,,,,,,,,,
5.2418,10.5388,-4.1174,-4.2797,0,,,,,,,,,,,,,1.691335311,1.468116929,-1.279579725,-1.469787801,,,,,,,,,
-0.2062,9.2207,-3.7044,-6.8103,0,,,,,,,,,,,,,-0.225110342,1.243531905,-1.183756728,-2.67425433,,,,,,,,,
2.0911,0.94358,4.5512,1.234,0,,,,,,,,,,,,,0.583012015,-0.16676867,0.731682336,1.154517541,,,,,,,,,
1.7317,-0.34765,4.1905,-0.99138,0,,,,,,,,,,,,,0.456585699,-0.386775437,0.647993825,0.095323783,,,,,,,,,
4.1736,3.3336,-1.4244,0.60429,0,,,,,,,,,,,,,1.315574069,0.240455894,-0.654758101,0.854800233,,,,,,,,,
3.9232,-3.2467,3.4579,0.83705,0,,,,,,,,,,,,,1.227490737,-0.880731292,0.478018213,0.965584881,,,,,,,,,
3.8481,10.1539,-3.8561,-4.2228,0,,,,,,,,,,,,,1.201072773,1.40253558,-1.218953698,-1.442705629,,,,,,,,,
0.5195,-3.2633,3.0895,-0.9849,0,,,,,,,,,,,,,0.030169506,-0.88355969,0.392543172,0.098408009,,,,,,,,,
3.8584,0.78425,1.1033,1.7008,0,,,,,,,,,,,,,1.204696009,-0.193916179,-0.068288878,1.376696066,,,,,,,,,
1.7496,-0.1759,5.1827,1.2922,0,,,,,,,,,,,,,0.462882391,-0.357511741,0.878201034,1.182218462,,,,,,,,,
3.6277,0.9829,0.68861,0.63403,0,,,,,,,,,,,,,1.123542556,-0.160069115,-0.164503983,0.868955309,,,,,,,,,
2.7391,7.4018,0.071684,-2.5302,0,,,,,,,,,,,,,0.810959295,0.933617863,-0.307641267,-0.637094293,,,,,,,,,
4.5447,8.2274,-2.4166,-1.5875,0,,,,,,,,,,,,,1.446116099,1.074288067,-0.884965311,-0.188405999,,,,,,,,,
-1.7599,11.9211,2.6756,-3.3241,0,,,,,,,,,,,,,-0.771656159,1.703640696,0.29651136,-1.014959613,,,,,,,,,
5.0691,0.21313,0.20278,1.2095,0,,,,,,,,,,,,,1.630584547,-0.291226701,-0.277224774,1.1428565,,,,,,,,,
3.4591,11.112,-4.2039,-5.0931,0,,,,,,,,,,,,,1.064234051,1.565781852,-1.29964919,-1.856934357,,,,,,,,,
1.9358,8.1654,-0.023425,-2.2586,0,,,,,,,,,,,,,0.528382057,1.063724171,-0.329708166,-0.507823326,,,,,,,,,
2.486,-0.99533,5.3404,-0.15475,0,,,,,,,,,,,,,0.721926183,-0.497130667,0.914790106,0.493526909,,,,,,,,,
2.4226,-4.5752,5.947,0.21507,0,,,,,,,,,,,,,0.699623934,-1.107088324,1.055531583,0.669546751,,,,,,,,,
3.9479,-3.7723,2.883,0.019813,0,,,,,,,,,,,,,1.236179468,-0.970285869,0.344631673,0.576612063,,,,,,,,,
2.2634,-4.4862,3.6558,-0.61251,0,,,,,,,,,,,,,0.643622071,-1.091924021,0.523934366,0.27565107,,,,,,,,,
1.3566,4.2358,2.1341,0.3211,0,,,,,,,,,,,,,0.324636587,0.39417762,0.170874186,0.72001288,,,,,,,,,
5.0452,3.8964,-1.4304,0.86291,0,,,,,,,,,,,,,1.622177232,0.336348809,-0.656150203,0.977893229,,,,,,,,,
3.5499,8.6165,-3.2794,-1.2009,0,,,,,,,,,,,,,1.096174812,1.140585034,-1.085149528,-0.004399535,,,,,,,,,
0.17346,7.8695,0.26876,-3.7883,0,,,,,,,,,,,,,-0.091557156,1.013307124,-0.261916296,-1.235900639,,,,,,,,,
2.4008,9.3593,-3.3565,-3.3526,0,,,,,,,,,,,,,0.691955337,1.267147325,-1.103038034,-1.028524497,,,,,,,,,
4.8851,1.5995,-0.00029081,1.6401,0,,,,,,,,,,,,,1.565858776,-0.055009465,-0.324340642,1.347805242,,,,,,,,,
4.1927,-3.2674,2.5839,0.21766,0,,,,,,,,,,,,,1.322292885,-0.88425827,0.275235406,0.67077949,,,,,,,,,
1.1166,8.6496,-0.96252,-1.8112,0,,,,,,,,,,,,,0.240211668,1.146224791,-0.547594116,-0.294878442,,,,,,,,,
1.0235,6.901,-2.0062,-2.7125,0,,,,,,,,,,,,,0.207461835,0.848288844,-0.789745558,-0.723861956,,,,,,,,,
-1.803,11.8818,2.0458,-5.2728,0,,,,,,,,,,,,,-0.786817467,1.696944549,0.15038709,-1.942464522,,,,,,,,,
0.11739,6.2761,-1.5495,-2.4746,0,,,,,,,,,,,,,-0.111280927,0.741814995,-0.68378342,-0.61063087,,,,,,,,,
0.5706,-0.0248,1.2421,-0.5621,0,,,,,,,,,,,,,0.048144978,-0.331766504,-0.036084926,0.299644257,,,,,,,,,
4.0552,-2.4583,2.2806,1.0323,0,,,,,,,,,,,,,1.273924443,-0.746399426,0.204864668,1.058516237,,,,,,,,,
-1.6952,1.0657,8.8294,0.94955,0,,,,,,,,,,,,,-0.748896608,-0.145961203,1.724297215,1.019130477,,,,,,,,,
-1.1193,10.7271,2.0938,-5.6504,0,,,,,,,,,,,,,-0.54631198,1.500200503,0.161523903,-2.122187339,,,,,,,,,
1.8799,2.4707,2.4931,0.37671,0,,,,,,,,,,,,,0.508718086,0.093430314,0.254168268,0.746481063,,,,,,,,,
3.583,-3.7971,3.4391,-0.12501,0,,,,,,,,,,,,,1.107818415,-0.974511428,0.473656295,0.507681985,,,,,,,,,
0.19081,9.1297,-3.725,-5.8224,0,,,,,,,,,,,,,-0.085453938,1.228026832,-1.188536277,-2.204052606,,,,,,,,,
3.6582,5.6864,-1.7157,-0.23751,0,,,,,,,,,,,,,1.134271556,0.641338712,-0.722344636,0.454136389,,,,,,,,,
-0.13144,-1.7775,8.3316,0.35214,0,,,,,,,,,,,,,-0.19881198,-0.630401031,1.608799182,0.734786705,,,,,,,,,
2.3925,9.798,-3.0361,-2.8224,0,,,,,,,,,,,,,0.689035642,1.341895409,-1.028699806,-0.776170054,,,,,,,,,
1.6426,3.0149,0.22849,-0.147,0,,,,,,,,,,,,,0.425242948,0.18615406,-0.271259618,0.497215606,,,,,,,,,
-0.11783,-1.5789,8.03,-0.028031,0,,,,,,,,,,,,,-0.194024383,-0.596562487,1.538822872,0.553840192,,,,,,,,,
-0.69572,8.6165,1.8419,-4.3289,0,,,,,,,,,,,,,-0.397309034,1.140585034,0.103078836,-1.493205075,,,,,,,,,
2.9421,7.4101,-0.97709,-0.88406,0,,,,,,,,,,,,,0.882368705,0.935032062,-0.550974603,0.146403901,,,,,,,,,
-1.7559,11.9459,3.0946,-4.8978,0,,,,,,,,,,,,,-0.770249077,1.707866254,0.393726458,-1.763979203,,,,,,,,,
-1.2537,10.8803,1.931,-4.3237,0,,,,,,,,,,,,,-0.593589934,1.52630355,0.123751545,-1.490730079,,,,,,,,,
3.2585,-4.4614,3.8024,-0.15087,0,,,,,,,,,,,,,0.99366889,-1.087698463,0.55794805,0.495373637,,,,,,,,,
1.8314,6.3672,-0.036278,0.049554,0,,,,,,,,,,,,,0.491657217,0.757337107,-0.33269028,0.590767615,,,,,,,,,
4.5645,-3.6275,2.8684,0.27714,0,,,,,,,,,,,,,1.453081155,-0.94561406,0.341244226,0.699089641,,,,,,,,,
2.7365,-5.0325,6.6608,-0.57889,0,,,,,,,,,,,,,0.810044692,-1.185005577,1.221145276,0.291652874,,,,,,,,,
0.9297,-3.7971,4.6429,-0.2957,0,,,,,,,,,,,,,0.174465763,-0.974511428,0.752958289,0.426440227,,,,,,,,,
3.9663,10.1684,-4.1131,-4.6056,0,,,,,,,,,,,,,1.242652046,1.405006169,-1.278582052,-1.624903443,,,,,,,,,
1.4578,-0.08485,4.1785,0.59136,0,,,,,,,,,,,,,0.360235761,-0.341998149,0.645209621,0.84864606,,,,,,,,,
4.8272,3.0687,0.68604,0.80731,0,,,,,,,,,,,,,1.545491264,0.195320796,-0.165100267,0.951429805,,,,,,,,,
-2.341,12.3784,0.70403,-7.5836,0,,,,,,,,,,,,,-0.976069993,1.781557949,-0.160926282,-3.042314856,,,,,,,,,
-1.8584,7.886,-1.6643,-1.8384,0,,,,,,,,,,,,,-0.806305552,1.016118484,-0.710418965,-0.307824577,,,,,,,,,
